order_id,date,rating,channel,year
6,2015-01-01,4,dine_in,2015
9,2015-01-01,3,dine_in,2015
13,2015-01-02,4,dine_in,2015
17,2015-01-02,4,dine_in,2015
20,2015-01-03,3,dine_in,2015
21,2015-01-03,2,dine_in,2015
23,2015-01-03,3,takeaway,2015
29,2015-01-03,3,delivery,2015
37,2015-01-04,3,dine_in,2015
39,2015-01-04,3,dine_in,2015
44,2015-01-04,4,dine_in,2015
60,2015-01-06,3,dine_in,2015
63,2015-01-06,3,dine_in,2015
77,2015-01-09,3,dine_in,2015
78,2015-01-09,3,dine_in,2015
81,2015-01-09,3,dine_in,2015
96,2015-01-10,3,dine_in,2015
97,2015-01-10,2,dine_in,2015
100,2015-01-10,4,dine_in,2015
101,2015-01-10,2,dine_in,2015
108,2015-01-11,4,dine_in,2015
112,2015-01-11,4,takeaway,2015
117,2015-01-12,4,dine_in,2015
118,2015-01-12,4,dine_in,2015
123,2015-01-13,3,dine_in,2015
132,2015-01-14,4,takeaway,2015
133,2015-01-15,3,dine_in,2015
139,2015-01-16,3,dine_in,2015
140,2015-01-16,3,dine_in,2015
149,2015-01-17,3,dine_in,2015
151,2015-01-17,2,dine_in,2015
162,2015-01-17,3,dine_in,2015
163,2015-01-18,2,dine_in,2015
167,2015-01-18,3,dine_in,2015
176,2015-01-18,3,dine_in,2015
177,2015-01-18,3,dine_in,2015
189,2015-01-20,4,dine_in,2015
190,2015-01-20,3,delivery,2015
197,2015-01-22,3,dine_in,2015
198,2015-01-22,4,dine_in,2015
203,2015-01-22,3,delivery,2015
206,2015-01-23,4,takeaway,2015
211,2015-01-23,3,dine_in,2015
215,2015-01-24,4,dine_in,2015
218,2015-01-24,4,dine_in,2015
222,2015-01-24,3,dine_in,2015
227,2015-01-24,2,dine_in,2015
230,2015-01-25,4,dine_in,2015
237,2015-01-25,3,dine_in,2015
243,2015-01-26,4,dine_in,2015
244,2015-01-26,4,dine_in,2015
245,2015-01-26,3,dine_in,2015
256,2015-01-28,3,dine_in,2015
278,2015-01-31,3,dine_in,2015
292,2015-02-01,2,dine_in,2015
294,2015-02-01,4,takeaway,2015
300,2015-02-01,4,dine_in,2015
317,2015-02-03,4,dine_in,2015
322,2015-02-04,2,dine_in,2015
324,2015-02-04,3,dine_in,2015
325,2015-02-04,3,dine_in,2015
327,2015-02-04,4,dine_in,2015
328,2015-02-04,2,dine_in,2015
332,2015-02-05,4,dine_in,2015
334,2015-02-05,3,dine_in,2015
338,2015-02-06,4,dine_in,2015
340,2015-02-06,3,dine_in,2015
349,2015-02-07,4,dine_in,2015
357,2015-02-07,3,dine_in,2015
365,2015-02-08,3,dine_in,2015
373,2015-02-08,3,dine_in,2015
376,2015-02-08,2,dine_in,2015
383,2015-02-10,3,dine_in,2015
384,2015-02-10,4,dine_in,2015
397,2015-02-12,3,dine_in,2015
401,2015-02-12,4,dine_in,2015
406,2015-02-13,4,dine_in,2015
413,2015-02-14,3,dine_in,2015
420,2015-02-14,3,takeaway,2015
431,2015-02-14,3,delivery,2015
437,2015-02-15,2,dine_in,2015
450,2015-02-16,5,dine_in,2015
452,2015-02-16,2,dine_in,2015
453,2015-02-16,4,dine_in,2015
466,2015-02-18,3,dine_in,2015
470,2015-02-19,3,takeaway,2015
473,2015-02-19,4,dine_in,2015
474,2015-02-20,4,dine_in,2015
475,2015-02-20,4,dine_in,2015
476,2015-02-20,3,dine_in,2015
477,2015-02-20,3,dine_in,2015
480,2015-02-20,4,dine_in,2015
485,2015-02-21,4,dine_in,2015
494,2015-02-21,3,dine_in,2015
495,2015-02-21,4,dine_in,2015
502,2015-02-22,4,takeaway,2015
506,2015-02-22,4,dine_in,2015
516,2015-02-23,4,dine_in,2015
520,2015-02-23,2,dine_in,2015
527,2015-02-25,2,delivery,2015
537,2015-02-26,4,dine_in,2015
544,2015-02-27,4,dine_in,2015
545,2015-02-27,3,dine_in,2015
546,2015-02-27,3,dine_in,2015
569,2015-03-01,2,dine_in,2015
572,2015-03-01,4,dine_in,2015
580,2015-03-02,3,dine_in,2015
582,2015-03-02,3,dine_in,2015
596,2015-03-04,4,takeaway,2015
611,2015-03-06,3,dine_in,2015
613,2015-03-06,3,dine_in,2015
619,2015-03-06,3,dine_in,2015
621,2015-03-07,4,dine_in,2015
622,2015-03-07,4,dine_in,2015
635,2015-03-07,2,dine_in,2015
638,2015-03-07,3,dine_in,2015
649,2015-03-08,4,dine_in,2015
663,2015-03-10,4,dine_in,2015
670,2015-03-11,4,dine_in,2015
671,2015-03-11,4,dine_in,2015
686,2015-03-13,4,dine_in,2015
703,2015-03-14,3,takeaway,2015
708,2015-03-14,2,dine_in,2015
